District,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
0.0,109,1.0,8672814.0,38.4,38.4,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,3.0,nan,1.0
0.0,110,1.0,8690500.0,45.5,20.0,16.0,4.46400615034,7.0,1.0,1.0,0.0,1.0,2.0,44.0,1.0
0.0,111,1.0,8700000.0,39.0,19.0,8.0,5.72482323359,10.0,1.0,0.0,0.0,1.0,12.0,17.0,0.0
0.0,112,nan,103470000.0,215.8,nan,nan,4.91170287467,5.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0
0.0,113,2.0,18700000.0,54.0,30.5,8.0,5.29835870622,8.0,1.0,0.0,0.0,0.0,4.0,10.0,0.0
0.0,114,3.0,64390950.0,158.9,89.0,18.0,4.97781535578,8.0,1.0,1.0,0.0,0.0,4.0,18.0,0.0
0.0,115,2.0,8700000.0,44.0,29.0,6.0,4.05223794504,6.0,0.0,1.0,1.0,1.0,4.0,9.0,0.0
0.0,116,1.0,8800000.0,30.0,18.0,5.0,3.42615438726,13.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0
0.0,117,1.0,8839861.0,52.7,52.7,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,2.0,nan,1.0
0.0,118,1.0,8896178.0,39.4,39.4,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,3.0,nan,1.0
0.0,119,1.0,8900000.0,40.0,20.0,10.5,4.81715480067,3.0,0.0,0.0,1.0,1.0,12.0,22.0,0.0
0.0,120,1.0,8900000.0,40.0,20.0,10.0,4.81715480067,3.0,0.0,0.0,1.0,1.0,12.0,22.0,0.0
0.0,121,2.0,8900000.0,47.5,31.0,7.0,5.27387644522,9.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0
0.0,122,1.0,8903736.0,43.7,nan,nan,4.87975110823,9.0,1.0,1.0,0.0,0.0,3.0,6.0,1.0
0.0,123,1.0,8903736.0,43.7,43.7,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,3.0,nan,1.0
0.0,124,1.0,8943624.0,49.9,49.9,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,4.0,nan,1.0
0.0,125,1.0,8949981.0,38.9,38.9,nan,4.87975110823,6.0,1.0,0.0,0.0,0.0,4.0,nan,1.0
0.0,126,1.0,8996400.0,44.1,nan,nan,4.46400615034,5.0,1.0,1.0,0.0,0.0,6.0,39.0,1.0
